Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Honeywell,VM3A,VM3A-L0-N,3737MB,Tablet,Qualcomm SDM660,1024x768,160,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Honeywell,VM3A,VM3A-L0-P,3737MB,Tablet,Qualcomm SDM660,1024x768,160,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Honeywell,EDA71,EDA71-1,1837MB,Phone,Qualcomm SDM450,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Honeywell,EDA71,EDA71-0,1837MB,Phone,Qualcomm SDM450,1280x720,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Honeywell,TA60A,TA60A-L1-C,3737MB,Tablet,Qualcomm SDM660,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Honeywell,TA60A,TA60A-L0-C,3737MB,Tablet,Qualcomm SDM660,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Honeywell,CN51,CN51_NN0,664MB,Phone,TI OMAP4470,480x800,240,armeabi-v7a;armeabi,17,2.0
Honeywell,CN51,CN51_QC0,664MB,Phone,TI OMAP4470,480x800,240,armeabi-v7a;armeabi,17,2.0
Honeywell,CN51,CN51_NC0,664MB,Phone,TI OMAP4470,480x800,240,armeabi-v7a;armeabi,17,2.0
Honeywell,CN51,CN51_QCU,664MB,Phone,TI OMAP4470,480x728;480x800,240,armeabi-v7a;armeabi,17,2.0
Honeywell,CN51,CN51_NCF,664MB,Phone,TI OMAP4470,480x800,240,armeabi-v7a;armeabi,17,2.0
Honeywell,CN51,CN51_QCF,664MB,Phone,TI OMAP4470,480x800,240,armeabi-v7a;armeabi,17,2.0
Honeywell,CN51,CN51_QN0,664MB,Phone,TI OMAP4470,480x800,240,armeabi-v7a;armeabi,17,2.0
Honeywell,EDA61K,EDA61K-1C,2844MB,Phone,Qualcomm SDM450,480x800,240,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Honeywell,EDA61K,EDA61K-1U,2844MB,Phone,Qualcomm SDM450,480x800,240,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Honeywell,CN75E,CN75E,1661MB,Phone,TI OMAP4470,480x640,213,armeabi-v7a;armeabi,23,2.0
Honeywell,D75E,75E-L0N,1868-1872MB,Phone,Qualcomm MSM8974AB,480x800,240,armeabi-v7a;armeabi,19;23,3.0
Honeywell,70eL00,dblack,,Phone,TI OMAP3715,480x800,240,armeabi-v7a;armeabi,15,2.0
Honeywell,CN75,CN75,1661MB,Phone,TI OMAP4470,480x640,213,armeabi-v7a;armeabi,23,2.0
Honeywell,CN85,CN85-L1-C,2732MB,Phone,Qualcomm SDM660,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Hoozo,MR768,MR768,1958MB,Tablet,Rockchip RK3326,600x1024,160,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Hoozo,YK_P30,YK_P30,2824MB,Tablet,Spreadtrum SC9863A,1280x800,213,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Hoozo,HZ0010,HZ0010,950MB,Phone,Mediatek MT6580,800x1280,240,armeabi-v7a;armeabi,27,2.0
Hoozo,HZ0010J,HZ0010J,1966MB,Phone,Mediatek MT6580,1280x800,240,armeabi-v7a;armeabi,28,2.0
Hoozo,MZ10863W,MZ10863W,950MB,Phone,Mediatek MT6580,800x1280,240,armeabi-v7a;armeabi,28,2.0
Hoozo,MZ10863,MZ10863,904MB,Tablet,Spreadtrum SC7731E,800x1280,213,armeabi-v7a;armeabi,27,3.2
Hoozo,HZ0011,HZ0011,1953MB,Phone,Mediatek MT6580,800x1280,240,armeabi-v7a;armeabi,28,2.0
Hot Pepper,Serrano,HPP-L55,894MB,Phone,Mediatek MT6739CW,480x960,240,armeabi-v7a;armeabi,28,3.2
Hot Pepper,Serrano,HPP-L55B,1892MB,Phone,Mediatek MT6739CW,480x960,240,armeabi-v7a;armeabi,28,3.2
Hot Pepper,Ghost,HPP-GS1,2836MB,Phone,Mediatek MT6765,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Hot Pepper,H5,H5,1807MB,Phone,Mediatek MT6750,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Hot Pepper,VLE5,VLE5A,1908MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,27,3.0
Hot Pepper,VLE5,VLE5,894MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,27,3.0
Hotwav,M6,M6,3072MB,Phone,Mediatek MT6739CH,720x1440,320,armeabi-v7a;armeabi,28,3.2
Hotwav,A1_Plus,A1_Plus,943MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
Hotwav,Magic 13,Magic_13,1943MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Hotwav,Symbol Max,Symbol_Max,1892MB,Phone,Mediatek MT6739WA,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Hotwav,Magic 11,Magic_11,894MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Hotwav,M5i,M5i,1908MB,Phone,Mediatek MT6580,720x1440,320,armeabi-v7a;armeabi,27,2.0
Hotwav,Magic 9,Magic_9,1878MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Hotwav,Symbol M1,Symbol_M1,899MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,24,2.0
Hotwav,Symbol,Symbol,1893MB,Phone,Mediatek MT6739WA,720x1498,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Hotwav,Magic 6,Magic_6,957MB,Phone,Mediatek MT6580,1280x720,320,armeabi-v7a;armeabi,24,2.0
Hotwav,Magic 8,Magic_8,957MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Hotwav,Pearl K1,Pearl_K1,3072MB,Phone,Mediatek MT6761,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Hotwav,Magic Q8,Magic_Q8,894MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Hotwav,Pearl_K2_Prime,Pearl_K2_Prime,1859MB,Phone,Mediatek MT6739WW,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Hotwav,M5,M5,1853MB,Phone,Mediatek MT6739WW,720x1440,320,armeabi-v7a;armeabi,27,3.2
Hotwav,Cosmos_U,Cosmos_U,957MB,Phone,Mediatek MT6580,480x996,240,armeabi-v7a;armeabi,27,2.0
Hotwav,Venus,Venus,1948MB,Phone,Mediatek MT6580,720x1520,320,armeabi-v7a;armeabi,27,2.0
Hotwav,HOT 6,HOT_6,863MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Hotwav,M5 Plus,M5_Plus,1854MB,Phone,Mediatek MT6739CH,720x1440,320,armeabi-v7a;armeabi,27,3.2
Hotwav,Magic_5_Plus,Magic_5_Plus,863MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Hotwav,Pearl_K3_Lite,Pearl_K3,2864MB,Phone,Mediatek MT6739WW,1560x720,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Hotwav,A1,A1,943MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
Hotwav,Symbol X,Symbol_X,1966MB,Phone,Mediatek MT6580,720x1498,320,armeabi-v7a;armeabi,27,2.0
Hotwav,Pearl K2,Pearl_K2,2864MB,Phone,Mediatek MT6739WW,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Hotwav,Cosmos,Cosmos,957MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
How,kids 3g,sp7731c_1h10,1068MB,Tablet,Spreadtrum SC7731C,600x1024,160,armeabi-v7a;armeabi,24,2.0
How,705-G Go,705-G_Go,904MB,Phone,Spreadtrum SC7731E,600x1024,213,armeabi-v7a;armeabi,27,3.2
How,HT-704,HT704,512MB,Tablet,Allwinner A33,1024x600,160,armeabi-v7a;armeabi,22,2.0
How,1001_G,1001-G_Go,904MB,Tablet,Spreadtrum SC7731E,1024x600,160,armeabi-v7a;armeabi,27,3.2
How,HT-705XS,HT-705XS,982MB,Tablet,Allwinner A50,600x1024,160,armeabi-v7a;armeabi,28,2.0
How,HT704-G,704-G,952MB,Phone,Allwinner A33,1280x800,240,armeabi-v7a;armeabi,23,2.0
How,HT705GO,HT705GO-01,981MB,Tablet,Rockchip RK3126C,1024x600,160,armeabi-v7a;armeabi,27,2.0
How,705-G,705-G,1068MB,Tablet,Spreadtrum SC7731C,600x1024,160,armeabi-v7a;armeabi,24,2.0
How,HT-705,HT705,984MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,25,2.0
How,1001-G,1001-G,1068MB,Tablet,Spreadtrum SC7731C,1024x600,160,armeabi-v7a;armeabi,24,2.0
HP,SlateBook 10 x2 PC,3645,1829-1845MB,Tablet,NVidia Tegra 4,1920x1200,240,armeabi-v7a;armeabi,17;18,2.0
HP,8 G2,maple,822MB,Tablet,Allwinner A33,768x1024,160,armeabi-v7a;armeabi,19,2.0
HP,Slate 7 Extreme,olive,832-840MB,Tablet,NVidia Tegra 4 T40,800x1280,213,armeabi-v7a;armeabi,17;18;19,2.0
HP,Slate 21 Pro,ranger,1875MB,Tablet,NVidia Tegra 4 T40,1920x1080,160,armeabi-v7a;armeabi,18;19,2.0
HP,HP Chromebook 13 G1,chell_cheets,7871-7872MB,PC,Intel m3-6y30,1800x3199;3200x1800,280,x86;armeabi-v7a;armeabi,25;28,3.1
HP,7 Plus G2,deschutes,968MB,Tablet,Intel Z2520,600x1024,160,x86;armeabi-v7a;armeabi,19,2.0
HP,10,spruce,708MB,Tablet,Allwinner A31,1280x800,160,armeabi-v7a;armeabi,19,2.0
HP,Slate 7 Beats Special Edition,fairfax,840MB,Tablet,NVidia Tegra 4 T40,1280x800,213,armeabi-v7a;armeabi,19,2.0
HP,Slate 10 HD,bonsai10,859-927MB,Tablet,Marvell PXA986,1280x800,160,armeabi-v7a;armeabi,17;19,2.0
HP,Slate 7 HD,bonsai7,859-927MB,Tablet,Marvell PXA986,800x1280,213,armeabi-v7a;armeabi,17;19,2.0
HP,Pro 8 Tablet with Voice,neetu,1900-1925MB,Tablet,Mediatek MT8735,800x1280,213,arm64-v8a;armeabi-v7a;armeabi,23;24,3.0;3.1
HP,7 VoiceTab,yukon,962MB,Tablet,Mediatek MT8382,600x1024,160,armeabi-v7a;armeabi,19,2.0
HP,7 Voice Tab,klondike,962MB,Tablet,Mediatek MT8382,800x1024,160,armeabi-v7a;armeabi,19,2.0
HP,Slate 17,franky,1859MB,Tablet,Intel N2807,1920x1080,160,x86;armeabi-v7a;armeabi,19,3.0
HP,Slate 6 Voice Tab,pomegranate,922-949MB,Phone,Marvell PXA1088,720x1280,240,armeabi-v7a;armeabi,17;19,2.0
HP,Slate8 Pro,fig,861-863MB,Tablet,NVidia Tegra 4 T40,1200x1600,240,armeabi-v7a;armeabi,17;19,2.0
HP,Slate 8 Pro,dogwood,861MB,Tablet,NVidia Tegra 4 T40,1200x1600,240,armeabi-v7a;armeabi,19,2.0
HP,Slate 6 VoiceTab Plus,mekong,847MB,Phone,Qualcomm MSM8926,720x1280,240,armeabi-v7a;armeabi,19,3.0
HP,HP Chromebook 11 G5 / 11-vxxx,setzer_cheets,3887-3894MB,PC,Intel N3060,1366x768;768x1366,160,x86;armeabi-v7a;armeabi,25;28,3.1
HP,Slate 8 Plus,vogue,879-888MB,Tablet,HiSilicon KIRIN910,800x1280,213,armeabi-v7a;armeabi,17;19,2.0
HP,7 Tablet,Mesquite,967MB,Tablet,Intel Z2460,1024x600,160,x86;armeabi-v7a;armeabi,16,2.0
HP,SlateBook 14,200a,1845MB,Tablet,NVidia Tegra 4 T40,1920x1080,160,armeabi-v7a;armeabi,18;19,2.0
HP,7 G2,redwood,822MB,Tablet,Allwinner A33,720x1280,160,armeabi-v7a;armeabi,19,2.0
HP,Chromebook x360 11 G1 EE,snappy_cheets,3827MB,PC,Intel N3350,1366x768;768x1366,160,x86;armeabi-v7a;armeabi,25;28,3.1
HP,8,Fir,676-740MB,Tablet,Allwinner A31S,768x1024,160,armeabi-v7a;armeabi,17;19,2.0
HP,Tablet 10,balsa,764MB,Tablet,Broadcom BCM28155,1280x800,160,armeabi-v7a;armeabi,16,2.0
HP,7.1,Holly,708-740MB,Tablet,Allwinner A31S,1024x600,160,armeabi-v7a;armeabi,17;19,2.0
HP,Voice Tab 7,almond,921-949MB,Tablet,Marvell PXA1088,800x1280,213,armeabi-v7a;armeabi,17;19,2.0
HP,Slate 7,pine,905MB,Tablet,Rockchip RK3066,720x1280,160,armeabi-v7a;armeabi,16,2.0
HP,Pro Slate 8,malamute,1842-1875MB,Tablet,Qualcomm APQ8074AB,1536x2048,320,armeabi-v7a;armeabi,19;21;22,3.0
HP,10 Plus,torsa,1563MB,Tablet,Allwinner A31,1920x1200,240,armeabi-v7a;armeabi,19,2.0
HP,Slate7 Plus,birch,971MB,Tablet,NVidia Tegra 3,800x1280,213,armeabi-v7a;armeabi,17,2.0
HP,Slate 6 Voice Tab II,avocado,922MB,Phone,Marvell PXA1088,720x1280,240,armeabi-v7a;armeabi,19,2.0
HP,Pro Slate 12,dane,1858-1875MB,Tablet,Qualcomm APQ8074AB,1600x1200,160,armeabi-v7a;armeabi,19;21;22,3.0
HP,Slate 10 Plus,linkplus,879MB,Tablet,HiSilicon KIRIN910,1280x800,160,armeabi-v7a;armeabi,19,2.0
HP,7 Plus,Ilex,708-740MB,Tablet,Allwinner A31S,600x1024,160,armeabi-v7a;armeabi,17;19,2.0
HP,Slate21,phobos,816-859MB,Tablet,NVidia Tegra 4 T40,1920x1080,160,armeabi-v7a;armeabi,17;19,2.0
HP,Chromebook x2,soraka_cheets,3843-3845MB,PC,Intel i7-7Y75,1600x2400;2400x1600,240,x86_64;x86;armeabi-v7a;armeabi,25;28,3.1
HP,Pro Slate 10 EE G1,bulldog,1885-1891MB,Tablet,Intel Z3735F,1280x800,160,x86;armeabi-v7a;armeabi,19;21,3.1
HP,Pro Slate 10 EE G1,hound,878-884MB,Tablet,Intel Z3735F,1280x800,160,x86;armeabi-v7a;armeabi,19;21,3.1
HP,Pro Slate 10 EE G1,terrier,878-885MB,Tablet,Intel Z3735F,1280x800,160,x86;armeabi-v7a;armeabi,19;21,3.1
HP,Pro Slate 10 EE G1,poodle,1884-1891MB,Tablet,Intel Z3735G,1280x800,160,x86;armeabi-v7a;armeabi,19;21,3.1
HP,Slate 7 VoiceTab Ultra,charm,1879-1895MB,Phone,HiSilicon KIRIN910,1200x1920,320;400,armeabi-v7a;armeabi,17;19,2.0
HTC,ISW13HT,valentewx,,Phone,Qualcomm MSM8660A,960x540,240,armeabi-v7a;armeabi,15,2.0
HTC,HTC Desire19+,htc_bre2pdugl,3738MB,Phone,Mediatek MT6765,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
HTC,One Google Play edition,m7,1553-1819MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;17;18;19;21;22,2.0;3.0
HTC,One,m7wls,1552-1819MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;18;19;21,2.0;3.0
HTC,One,m7cdug,1560-1813MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;17;19;21,2.0;3.0
HTC,One,m7wlv,1565-1819MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,17;18;19;21,2.0;3.0
HTC,One,m7cdtu,1560-1813MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,17;19;21,2.0;3.0
HTC,One Dual Sim,m7cdwg,1560-1813MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,17;19;21,2.0;3.0
HTC,Desire X dual sim,protodug,586MB,Phone,Qualcomm MSM8225,480x800,240,armeabi-v7a;armeabi,16,2.0
HTC,Desire 530,htc_a16wl,1388-1393MB,Phone,Qualcomm MSM8909,720x1280,320,armeabi-v7a;armeabi,23;24,3.0
HTC,DROID Incredible 4G LTE,fireball,,Phone,Qualcomm MSM8960,540x960,240,armeabi-v7a;armeabi,15,2.0
HTC,HTCOneMaxVZW,t6wl,1545MB,Phone,Qualcomm APQ8064,1080x1920,400;480,armeabi-v7a;armeabi,18;19,3.0
HTC,Desire 200,gtou,,Phone,Qualcomm MSM7225A,320x480,160,armeabi-v7a;armeabi,15,2.0
HTC,Wildfire,buzz,,Phone,Qualcomm MSM7225,320x240,120,armeabi,8,1.0
HTC,One remix,htc_memwl,1335MB,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,19,3.0
HTC,Desire 620G dual sim,htc_a31mg_dug,952MB,Phone,Mediatek MT6592,720x1280,320,armeabi-v7a;armeabi,19,2.0
HTC,One E9PLUS dual sim,htc_a55ml_dtul,2642MB,Phone,Mediatek MT6795,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,21,3.0
HTC,E9x,htc_a53ml_dtul,1663MB,Phone,Mediatek MT6795,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,21,3.0
HTC,Wildfire E,Wildfire_E,1819MB,Phone,Spreadtrum SC9863A,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
HTC,Rhyme S510b,bliss,,Phone,Qualcomm MSM8255,480x800,240,armeabi-v7a;armeabi,10;15,2.0
HTC,Desire 650 dual sim,htc_a37_dugl,2915MB,Phone,Mediatek MT6737T,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3.0
HTC,Velocity 4G,holiday,,Phone,Qualcomm APQ8060,540x960,240,armeabi-v7a;armeabi,10;15,2.0
HTC,Desire 5088,z4td,424MB,Phone,Spreadtrum SC8735S,480x800,240,armeabi-v7a;armeabi,16,2.0
HTC,Desire 10 lifestyle,htc_a56djul,1841MB,Phone,Qualcomm MSM8928,720x1280,320,armeabi-v7a;armeabi,23,3.0
HTC,Desire 10 lifestyle,htc_a56djuhl,1841MB,Phone,Qualcomm MSM8928,720x1280,320,armeabi-v7a;armeabi,23,3.0
HTC,Desire 10 lifestyle,htc_a56djdugl,2854MB,Phone,Qualcomm MSM8928,720x1280,320,armeabi-v7a;armeabi,23,3.0
HTC,Desire 10 compact,htc_a37dj_dugl,2915MB,Phone,Mediatek MT6737T,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3.0
HTC,U Ultra,htc_oceuhl,3764-3765MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2
HTC,U Ultra,htc_ocedugl,3764-3765MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2
HTC,U Ultra,htc_ocedtwl,3764-3765MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2
HTC,Desire 626s,htc_a32eul,1394MB,Phone,Qualcomm MSM8909,720x1280,320,armeabi-v7a;armeabi,22;23,3.0
HTC,Desire 626s,htc_a32ewhl,1394MB,Phone,Qualcomm MSM8909,720x1280,320,armeabi-v7a;armeabi,22;23,3.0
HTC,Desire 626s,htc_a32eul_la,886MB,Phone,Qualcomm MSM8909,720x1280,320,armeabi-v7a;armeabi,22,3.0
HTC,Desire626s,htc_a32eulatt,1394MB,Phone,Qualcomm MSM8909,720x1280,320,armeabi-v7a;armeabi,22,3.0
HTC,Desire XC dual sim,protodcg,586MB,Phone,Qualcomm MSM8225,480x800,240,armeabi-v7a;armeabi,16,2.0
HTC,AT&T HTC One X+,evitareul,971-985MB,Phone,NVidia Tegra 3 AP37,720x1280,320,armeabi-v7a;armeabi,16;17,2.0
HTC,Desire 820,htc_a51ul,1840-1873MB,Phone,Qualcomm MSM8939,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,19;21;23,3.0
HTC,Desire,bravoc,,Phone,Qualcomm QSD8250,800x480,240,armeabi-v7a;armeabi,8,2.0
HTC,Desire,bravo,,Phone,Qualcomm QSD8250,800x480,240,armeabi-v7a;armeabi,8;10,2.0
HTC,Desrie D530,htc_a16ul,1394MB,Phone,Qualcomm MSM8909,720x1280,320,armeabi-v7a;armeabi,23,3.0
HTC,HTCEVODesign4G,kingdom,,Phone,Qualcomm QSD8655,540x960,240,armeabi-v7a;armeabi,15,2.0
HTC,Sensation XL with Beats Audio X315e,runnymede,,Phone,Qualcomm MSM8255,800x480,240,armeabi-v7a;armeabi,10;15,2.0
HTC,One S9,htc_himar2uhl,1769MB,Phone,Mediatek MT6795,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0
HTC,Butterfly 2,htc_b2ul,1823MB,Phone,Qualcomm MSM8974AC,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0
HTC,HTC Wildfire X,htc_h11dugl,3738MB,Phone,Mediatek MT6762,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
HTC,One M8 eye 4G LTE,htc_melstuhl,1823MB,Phone,Qualcomm MSM8974AA,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0
HTC,One M9+,htc_hiau_ml_tuhl,2641-2715MB,Phone,Mediatek MT6795,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,21;23,3.0
HTC,Puccini,puccinilte,,Tablet, ,1280x800,160,armeabi-v7a;armeabi,12,2.0
HTC,J One,m7wlj,1552-1782MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;17;19,2.0;3.0
HTC,Salsa C510e,icong,,Phone,Qualcomm MSM7227,320x480,160,armeabi,10,2.0
HTC,Desire 825 dual sim,htc_a56dugl,1841MB,Phone,Qualcomm MSM8928,720x1280,320,armeabi-v7a;armeabi,23,3.0
HTC,EXODUS 1,htc_exodugl,5576-5596MB,Phone,Qualcomm SDM845,1440x2880,640,arm64-v8a;armeabi-v7a;armeabi,26;28,3.2
HTC,EXODUS 1,htc_exouhl,5592-5596MB,Phone,Qualcomm SDM845,1440x2880,640,arm64-v8a;armeabi-v7a;armeabi,26;28,3.2
HTC,Desire 828,htc_a51bml_tuhl,1832MB,Phone,Mediatek MT6573,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,22,3.0
HTC,Desire 526,htc_a13wlpp,1390MB,Phone,Qualcomm MSM8909,540x960,240,armeabi-v7a;armeabi,22,3.0
HTC,Desire 526,htc_a13wl,1390-1392MB,Phone,Qualcomm MSM8909,540x960,240,armeabi-v7a;armeabi,22;23,3.0
HTC,Desire 601 dual sim,zaradug,952MB,Phone,Broadcom BCM23550,540x960,240,armeabi-v7a;armeabi,17,2.0
HTC,Desire 700 dual sim,cp5dug,800MB,Phone,Spreadtrum SC8825,540x960,240,armeabi-v7a;armeabi,16,2.0
HTC,Desire 700 dual sim,cp5dwg,800MB,Phone,Spreadtrum SC8825,540x960,240,armeabi-v7a;armeabi,16,2.0
HTC,Butterfly s 9060,dlpdug,1559MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,17;19,2.0;3.0
HTC,Desire S,saga,,Phone,Qualcomm MSM8255,800x480,240,armeabi-v7a;armeabi,10;15,2.0
HTC,One X9 dual sim,htc_e56ml_dtul,1784-2776MB,Phone,Mediatek MT6795,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,21;23,3.0
HTC,HTC U11 EYEs,htc_haydugl,3513MB,Phone,Qualcomm MSM8976,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2
HTC,HTC U11 EYEs,htc_haydtwl,3513MB,Phone,Qualcomm MSM8976,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2
HTC,10,htc_pmeuhl,3764-3767MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.2
HTC,10,htc_pmewl,3764-3767MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.2
HTC,10,htc_pmeuhljapan,3764-3767MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.2
HTC,10,htc_pmec2tuhl,2745MB,Phone,Qualcomm MSM8976,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,23;24,3.1;3.2
HTC,10,htc_pmewhl,3764-3768MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.2
HTC,Incredible S,vivo,,Phone,Qualcomm MSM8255,800x480,240,armeabi-v7a;armeabi,10;15,2.0
HTC,EVO 3D X515m,shooteru,,Phone,Qualcomm MSM8260,540x960,240,armeabi-v7a;armeabi,10;15,2.0
HTC,Wildfire S A515c,marvelc,,Phone,Qualcomm MSM7227,320x480,160,armeabi,10,2.0
HTC,HTL23,htc_b2wlj,1823MB,Phone,Qualcomm MSM8974AC,1080x1920,480,armeabi-v7a;armeabi,19;21,3.0
HTC,Wildfire S,marvel,,Phone,Qualcomm MSM7227,480x320,160,armeabi,10,2.0
HTC,Desire 600 Dual SIM,cp3dug,779MB,Phone,Qualcomm MSM8225Q,540x960,240,armeabi-v7a;armeabi,16,2.0
HTC,HTC U11+,htc_ocmdugl,3722-5719MB,Phone,Qualcomm MSM8998,1440x2880,640,arm64-v8a;armeabi-v7a;armeabi,26;28,3.2
HTC,HTC U11+,htc_ocmdtwl,5719MB,Phone,Qualcomm MSM8998,1440x2880,640,arm64-v8a;armeabi-v7a;armeabi,26;28,3.2
HTC,Desire SV,magnids,,Phone,Qualcomm MSM8225,480x800,240,armeabi-v7a;armeabi,15,2.0
HTC,Desire 825,htc_a56uhl,1841MB,Phone,Qualcomm MSM8928,720x1280,320,armeabi-v7a;armeabi,23,3.0
HTC,Desire 516 dual sim,htc_v2_dug,911MB,Phone,Qualcomm MSM8612,540x960,240,armeabi-v7a;armeabi,18,3.0
HTC,Desire 516 dual sim,htc_v2_dcg,911MB,Phone,Qualcomm MSM8612,540x960,240,armeabi-v7a;armeabi,18,3.0
HTC,Desire 300,g3u,404MB,Phone,Qualcomm MSM8225,480x800,240,armeabi-v7a;armeabi,16,2.0
HTC,D626q,htc_a32ml_dtul,1916MB,Phone,Mediatek MT6752,720x1280,320,armeabi-v7a;armeabi,19,3.0
HTC,HTC U11 life,htc_ocla1_sprout,2736-3733MB,Phone,Qualcomm SDM630,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,26;27;28;29,3.2
HTC,HTC U11 life,htc_oclul,2737-2738MB,Phone,Qualcomm MSM8953 Pro,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;26,3.2
HTC,U11 Life,htc_ocluhljapan,3739-3740MB,Phone,Qualcomm MSM8953 Pro,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;26,3.2
HTC,Desire 12+,htc_brepdugl,2851MB,Phone,Qualcomm SDM450,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,26,3.2
HTC,Desire 12+,htc_brepuhl,2851MB,Phone,Qualcomm SDM450,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,26,3.2
HTC,One (M8 EYE),htc_melsuhl,1823MB,Phone,Qualcomm MSM8974AA,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0
HTC,myTouch 4G,glacier,,Phone,Qualcomm MSM8255,800x480,240,armeabi-v7a;armeabi,10,2.0
